  forking is not supported on this platform

   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-09-25 16:44:20 /vendor/datatables/dataTables.bootstrap4.min.css ..................................... ~ 2.99ms
  2026-09-25 16:44:20 /css/datatables-enhancements.css?v=1789530471 ........................................ ~ 4.24ms
  2026-09-25 16:44:20 /js/sweetalert.min.js ................................................................ ~ 5.31ms
  2026-09-25 16:44:20 /css/sweetalert.css .................................................................. ~ 5.29ms
  2026-09-25 16:44:20 /css/shared/shell-theme.css?v=1790185700 ............................................. ~ 3.92ms
  2026-09-25 16:44:20 /css/admin/admin-experience.css?v=1790186021 ......................................... ~ 0.24ms
  2026-09-25 16:44:20 /css/it-support.css?v=1790183935 ..................................................... ~ 1.57ms
  2026-09-25 16:44:20 /vendor/fontawesome-free/css/all.min.css ............................................. ~ 2.80ms
  2026-09-25 16:44:20 /css/sb-admin-2.min.css .............................................................. ~ 3.99ms
  2026-09-25 16:44:20 /js/ajax/libs/jquery/3.6.0/jquery.min.js ............................................. ~ 5.27ms
  2026-09-25 16:44:20 /js/ajax/libs/jquery-validate/1.19.5/jquery.validate.min.js .......................... ~ 5.09ms
  2026-09-25 16:44:20 /css/style.css ....................................................................... ~ 0.22ms
  2026-09-25 16:44:20 /vendor/datatables/dataTables.bootstrap4.min.css ..................................... ~ 1.82ms
  2026-09-25 16:44:20 /css/datatables-enhancements.css?v=1789530471 ........................................ ~ 2.84ms
  2026-09-25 16:44:20 /user_icon.png ....................................................................... ~ 0.21ms
  2026-09-25 16:44:20 /vendor/bootstrap/js/bootstrap.bundle.min.js ......................................... ~ 1.57ms
  2026-09-25 16:44:20 /js/sweetalert.min.js ................................................................ ~ 0.19ms
  2026-09-25 16:44:20 /js/ajax/libs/jquery/3.6.0/jquery.min.js ............................................. ~ 0.33ms
  2026-09-25 16:44:20 /vendor/jquery-easing/jquery.easing.min.js ........................................... ~ 1.47ms
  2026-09-25 16:44:20 /js/sb-admin-2.min.js ................................................................ ~ 2.57ms
  2026-09-25 16:44:20 /js/datatables-enhancements.js?v=1789532525 .......................................... ~ 2.62ms
  2026-09-25 16:44:20 /hp-logo.png ......................................................................... ~ 2.64ms
  2026-09-25 16:44:20 /vendor/fontawesome-free/webfonts/fa-solid-900.woff2 ................................. ~ 0.19ms
  2026-09-25 16:44:20 /js/ajax/libs/jquery-validate/1.19.5/jquery.validate.min.js .......................... ~ 0.45ms
  2026-09-25 16:44:20 .................................................................................... ~ 524.53ms
  2026-09-25 16:44:21 /vendor/bootstrap/js/bootstrap.bundle.min.js ......................................... ~ 0.21ms
  2026-09-25 16:44:21 /vendor/jquery-easing/jquery.easing.min.js ........................................... ~ 1.17ms
  2026-09-25 16:44:21 /js/sb-admin-2.min.js ................................................................ ~ 2.13ms
  2026-09-25 16:44:21 /js/datatables-enhancements.js?v=1789532525 .......................................... ~ 3.72ms
  2026-09-25 16:44:21 /vendor/fontawesome-free/css/all.min.css ............................................. ~ 4.88ms
  2026-09-25 16:44:21 /css/sb-admin-2.min.css .............................................................. ~ 0.22ms
  2026-09-25 16:44:21 /css/style.css ....................................................................... ~ 1.54ms
  2026-09-25 16:44:21 /vendor/datatables/dataTables.bootstrap4.min.css ..................................... ~ 2.90ms
  2026-09-25 16:44:21 /css/datatables-enhancements.css?v=1789530471 ........................................ ~ 3.94ms
  2026-09-25 16:44:21 /js/sweetalert.min.js ................................................................ ~ 3.70ms
  2026-09-25 16:44:21 /css/sweetalert.css .................................................................. ~ 4.91ms
  2026-09-25 16:44:21 /css/shared/shell-theme.css?v=1790185700 ............................................. ~ 0.20ms
  2026-09-25 16:44:21 /css/admin/admin-experience.css?v=1790186021 ......................................... ~ 0.35ms
  2026-09-25 16:44:21 /js/ajax/libs/jquery/3.6.0/jquery.min.js ............................................. ~ 1.60ms
  2026-09-25 16:44:21 /vendor/fontawesome-free/css/all.min.css ............................................. ~ 3.15ms
  2026-09-25 16:44:21 /css/sb-admin-2.min.css .............................................................. ~ 4.36ms
  2026-09-25 16:44:21 /js/ajax/libs/jquery-validate/1.19.5/jquery.validate.min.js .......................... ~ 5.65ms
  2026-09-25 16:44:21 /css/style.css ....................................................................... ~ 2.35ms
  2026-09-25 16:44:21 /vendor/datatables/dataTables.bootstrap4.min.css ..................................... ~ 0.20ms
  2026-09-25 16:44:21 /css/datatables-enhancements.css?v=1789530471 ........................................ ~ 1.12ms
  2026-09-25 16:44:21 /user_icon.png ....................................................................... ~ 0.17ms
  2026-09-25 16:44:21 /vendor/bootstrap/js/bootstrap.bundle.min.js ......................................... ~ 1.20ms
  2026-09-25 16:44:21 /vendor/jquery-easing/jquery.easing.min.js ........................................... ~ 0.19ms
  2026-09-25 16:44:21 /js/sb-admin-2.min.js ................................................................ ~ 1.19ms
  2026-09-25 16:44:21 /js/datatables-enhancements.js?v=1789532525 .......................................... ~ 3.13ms
  2026-09-25 16:44:21 /hp-logo.png ......................................................................... ~ 4.18ms
  2026-09-25 16:44:21 /vendor/fontawesome-free/webfonts/fa-solid-900.woff2 ................................. ~ 0.18ms
  2026-09-25 16:44:22 /js/sweetalert.min.js ............................................................... ~ 10.94ms
  2026-09-25 16:44:22 /js/ajax/libs/jquery/3.6.0/jquery.min.js ............................................ ~ 12.22ms
  2026-09-25 16:44:22 /js/ajax/libs/jquery-validate/1.19.5/jquery.validate.min.js ......................... ~ 13.38ms
  2026-09-25 16:44:22 /vendor/bootstrap/js/bootstrap.bundle.min.js ........................................ ~ 14.22ms
  2026-09-25 16:44:22 /vendor/jquery-easing/jquery.easing.min.js .......................................... ~ 15.17ms
  2026-09-25 16:44:22 /js/sb-admin-2.min.js ............................................................... ~ 16.34ms
  2026-09-25 16:44:22 /js/datatables-enhancements.js?v=1789532525 .......................................... ~ 0.18ms
  2026-09-25 16:44:22 ...................................................................................... ~ 1.11ms
  2026-09-25 16:44:22 /vendor/fontawesome-free/css/all.min.css ............................................. ~ 0.21ms
  2026-09-25 16:44:22 /css/sb-admin-2.min.css .............................................................. ~ 0.30ms
  2026-09-25 16:44:22 /css/style.css ....................................................................... ~ 1.99ms
  2026-09-25 16:44:22 /vendor/datatables/dataTables.bootstrap4.min.css ..................................... ~ 3.54ms
  2026-09-25 16:44:22 /css/datatables-enhancements.css?v=1789530471 ........................................ ~ 4.65ms
  2026-09-25 16:44:22 /js/sweetalert.min.js ................................................................ ~ 4.04ms
  2026-09-25 16:44:22 /css/sweetalert.css .................................................................. ~ 5.21ms
  2026-09-25 16:44:22 /css/shared/shell-theme.css?v=1790185700 ............................................. ~ 6.43ms
  2026-09-25 16:44:22 /css/admin/admin-experience.css?v=1790186021 ......................................... ~ 0.30ms
  2026-09-25 16:44:22 /css/it-support.css?v=1790183935 ..................................................... ~ 1.77ms
  2026-09-25 16:44:22 /js/ajax/libs/jquery/3.6.0/jquery.min.js ............................................. ~ 2.97ms
  2026-09-25 16:44:22 /js/ajax/libs/jquery-validate/1.19.5/jquery.validate.min.js .......................... ~ 4.05ms
  2026-09-25 16:44:22 /vendor/fontawesome-free/css/all.min.css ............................................. ~ 0.21ms
  2026-09-25 16:44:22 /css/sb-admin-2.min.css .............................................................. ~ 1.39ms
  2026-09-25 16:44:22 /css/style.css ....................................................................... ~ 2.59ms
  2026-09-25 16:44:22 /vendor/datatables/dataTables.bootstrap4.min.css ..................................... ~ 3.88ms
  2026-09-25 16:44:22 /css/datatables-enhancements.css?v=1789530471 ........................................ ~ 3.65ms
  2026-09-25 16:44:22 /user_icon.png ....................................................................... ~ 0.22ms
  2026-09-25 16:44:22 /vendor/bootstrap/js/bootstrap.bundle.min.js ......................................... ~ 0.19ms
  2026-09-25 16:44:22 /vendor/jquery-easing/jquery.easing.min.js ........................................... ~ 0.31ms
  2026-09-25 16:44:22 /js/sb-admin-2.min.js ................................................................ ~ 1.38ms
  2026-09-25 16:44:22 /js/datatables-enhancements.js?v=1789532525 .......................................... ~ 2.56ms
  2026-09-25 16:44:22 /hp-logo.png ......................................................................... ~ 2.37ms
  2026-09-25 16:44:22 /vendor/fontawesome-free/webfonts/fa-solid-900.woff2 ................................. ~ 0.17ms
  2026-09-25 16:44:23 /js/sweetalert.min.js ................................................................ ~ 0.19ms
  2026-09-25 16:44:23 /js/ajax/libs/jquery/3.6.0/jquery.min.js ............................................. ~ 1.45ms
  2026-09-25 16:44:23 /js/ajax/libs/jquery-validate/1.19.5/jquery.validate.min.js .......................... ~ 1.24ms
  2026-09-25 16:44:23 /vendor/bootstrap/js/bootstrap.bundle.min.js ......................................... ~ 1.14ms
  2026-09-25 16:44:23 /vendor/jquery-easing/jquery.easing.min.js ........................................... ~ 2.12ms
  2026-09-25 16:44:23 /js/sb-admin-2.min.js ................................................................ ~ 2.18ms
  2026-09-25 16:44:23 /js/datatables-enhancements.js?v=1789532525 .......................................... ~ 3.46ms
