  forking is not supported on this platform

   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-09-25 16:42:27 /vendor/datatables/dataTables.bootstrap4.min.css ..................................... ~ 2.88ms
  2026-09-25 16:42:27 /css/datatables-enhancements.css?v=1789530471 ........................................ ~ 3.90ms
  2026-09-25 16:42:27 /css/sweetalert.css .................................................................. ~ 5.02ms
  2026-09-25 16:42:27 /css/shared/shell-theme.css?v=1790185700 ............................................. ~ 5.07ms
  2026-09-25 16:42:27 /css/admin/admin-experience.css?v=1790186021 ......................................... ~ 6.20ms
  2026-09-25 16:42:27 /js/sweetalert.min.js ................................................................ ~ 0.27ms
  2026-09-25 16:42:27 /js/ajax/libs/jquery/3.6.0/jquery.min.js ............................................. ~ 1.53ms
  2026-09-25 16:42:27 /js/ajax/libs/jquery-validate/1.19.5/jquery.validate.min.js .......................... ~ 2.62ms
  2026-09-25 16:42:27 /vendor/fontawesome-free/css/all.min.css ............................................. ~ 3.52ms
  2026-09-25 16:42:27 /css/sb-admin-2.min.css .............................................................. ~ 4.67ms
  2026-09-25 16:42:27 /css/style.css ....................................................................... ~ 6.00ms
  2026-09-25 16:42:27 /vendor/datatables/dataTables.bootstrap4.min.css ..................................... ~ 2.97ms
  2026-09-25 16:42:27 /css/datatables-enhancements.css?v=1789530471 ........................................ ~ 1.22ms
  2026-09-25 16:42:27 /user_icon.png ....................................................................... ~ 0.28ms
  2026-09-25 16:42:27 /vendor/bootstrap/js/bootstrap.bundle.min.js ......................................... ~ 1.70ms
  2026-09-25 16:42:27 /vendor/jquery-easing/jquery.easing.min.js ........................................... ~ 0.18ms
  2026-09-25 16:42:27 /js/sb-admin-2.min.js ................................................................ ~ 1.22ms
  2026-09-25 16:42:27 /js/datatables-enhancements.js?v=1789532525 .......................................... ~ 2.34ms
  2026-09-25 16:42:27 /hp-logo.png ......................................................................... ~ 2.58ms
  2026-09-25 16:42:27 /vendor/fontawesome-free/webfonts/fa-solid-900.woff2 ................................. ~ 0.20ms
  2026-09-25 16:42:27 /js/sweetalert.min.js ................................................................ ~ 1.22ms
  2026-09-25 16:42:28 /js/ajax/libs/jquery-validate/1.19.5/jquery.validate.min.js .......................... ~ 0.93ms
  2026-09-25 16:42:28 /js/ajax/libs/jquery/3.6.0/jquery.min.js ............................................. ~ 0.18ms
  2026-09-25 16:42:28 /vendor/bootstrap/js/bootstrap.bundle.min.js ......................................... ~ 1.19ms
  2026-09-25 16:42:28 /vendor/jquery-easing/jquery.easing.min.js ........................................... ~ 0.18ms
  2026-09-25 16:42:28 /js/sb-admin-2.min.js ................................................................ ~ 1.20ms
  2026-09-25 16:42:28 /js/datatables-enhancements.js?v=1789532525 .......................................... ~ 0.17ms
  2026-09-25 16:42:42 .................................................................................... ~ 513.66ms
  2026-09-25 16:42:42 /vendor/fontawesome-free/css/all.min.css ............................................. ~ 0.22ms
  2026-09-25 16:42:42 /css/sb-admin-2.min.css .............................................................. ~ 1.41ms
  2026-09-25 16:42:42 /css/style.css ....................................................................... ~ 1.77ms
  2026-09-25 16:42:42 /vendor/datatables/dataTables.bootstrap4.min.css ..................................... ~ 1.79ms
  2026-09-25 16:42:42 /css/datatables-enhancements.css?v=1789530471 ........................................ ~ 2.86ms
  2026-09-25 16:42:42 /js/sweetalert.min.js ................................................................ ~ 4.14ms
  2026-09-25 16:42:42 /css/sweetalert.css .................................................................. ~ 5.49ms
  2026-09-25 16:42:42 /css/shared/shell-theme.css?v=1790185700 ............................................. ~ 0.20ms
  2026-09-25 16:42:42 /css/admin/admin-experience.css?v=1790186021 ......................................... ~ 0.25ms
  2026-09-25 16:42:42 /js/ajax/libs/jquery/3.6.0/jquery.min.js ............................................. ~ 1.36ms
  2026-09-25 16:42:42 /js/ajax/libs/jquery-validate/1.19.5/jquery.validate.min.js .......................... ~ 2.52ms
  2026-09-25 16:42:42 /vendor/fontawesome-free/css/all.min.css ............................................. ~ 3.50ms
  2026-09-25 16:42:42 /css/sb-admin-2.min.css .............................................................. ~ 0.31ms
  2026-09-25 16:42:42 /css/style.css ....................................................................... ~ 1.64ms
  2026-09-25 16:42:42 /vendor/datatables/dataTables.bootstrap4.min.css ..................................... ~ 2.99ms
  2026-09-25 16:42:42 /css/datatables-enhancements.css?v=1789530471 ........................................ ~ 4.03ms
  2026-09-25 16:42:42 /user_icon.png ....................................................................... ~ 0.37ms
  2026-09-25 16:42:42 /vendor/bootstrap/js/bootstrap.bundle.min.js ......................................... ~ 2.01ms
  2026-09-25 16:42:42 /js/sweetalert.min.js ................................................................ ~ 0.20ms
  2026-09-25 16:42:42 /vendor/jquery-easing/jquery.easing.min.js ........................................... ~ 0.19ms
  2026-09-25 16:42:42 /js/ajax/libs/jquery/3.6.0/jquery.min.js ............................................. ~ 1.27ms
  2026-09-25 16:42:42 /js/sb-admin-2.min.js ................................................................ ~ 1.29ms
  2026-09-25 16:42:42 /hp-logo.png ......................................................................... ~ 2.51ms
  2026-09-25 16:42:42 /js/datatables-enhancements.js?v=1789532525 .......................................... ~ 2.86ms
  2026-09-25 16:42:42 /js/ajax/libs/jquery-validate/1.19.5/jquery.validate.min.js .......................... ~ 2.79ms
  2026-09-25 16:42:42 /vendor/fontawesome-free/webfonts/fa-solid-900.woff2 ................................. ~ 0.19ms
  2026-09-25 16:42:43 /vendor/bootstrap/js/bootstrap.bundle.min.js ........................................ ~ 10.95ms
  2026-09-25 16:42:43 /vendor/jquery-easing/jquery.easing.min.js .......................................... ~ 11.87ms
  2026-09-25 16:42:43 /js/sb-admin-2.min.js ................................................................ ~ 1.19ms
  2026-09-25 16:42:43 /js/datatables-enhancements.js?v=1789532525 .......................................... ~ 0.21ms
  2026-09-25 16:43:16 ...................................................................................... ~ 0.98ms
  2026-09-25 16:43:16 /vendor/fontawesome-free/css/all.min.css ............................................. ~ 0.20ms
  2026-09-25 16:43:16 /css/sb-admin-2.min.css .............................................................. ~ 0.23ms
  2026-09-25 16:43:16 /css/style.css ....................................................................... ~ 1.51ms
  2026-09-25 16:43:16 /vendor/datatables/dataTables.bootstrap4.min.css ..................................... ~ 2.97ms
  2026-09-25 16:43:16 /css/datatables-enhancements.css?v=1789530471 ........................................ ~ 4.10ms
  2026-09-25 16:43:16 /js/sweetalert.min.js ................................................................ ~ 5.26ms
  2026-09-25 16:43:16 /css/sweetalert.css .................................................................. ~ 4.11ms
  2026-09-25 16:43:16 /css/shared/shell-theme.css?v=1790185700 ............................................. ~ 0.19ms
  2026-09-25 16:43:16 /css/admin/admin-experience.css?v=1790186021 ......................................... ~ 0.21ms
